city,population,area,sickbeds
Shanghai,2481.0,6340.5,10000
Beijing,2190.0,16410,10000
Wuhan,1121.2,8569.15,10000
Changsha,963.6,11819,10000
Chengdu,2040.9,14335,10000
Chongqing,3187.8,82402,10000
Dalian,739.6,12574,10000
Fuzhou,824,11968,10000
Guangzhou,1831.2,7434.4,10000
Guilin,511.2,27800,10000
Guiyang,594.6,8034,10000
Haerbin,1076.3,53186,10000
Haikou,277.3,3126.82,10000
Hangzhou,1161.3,16850,10000
Hefei,818.9,11445,10000
Jinan,890.9,10244.45,10000
Jinzhong,337.5,16400,10000
Kunming,824.9,21012.54,10000
Lanzhou,428.7,13100,10000
Nanchang,614,7195,10000
Nanjing,928.2,6587.02,10000
Nanning,734.48,22100,10000
Qingdao,992.3,11293,10000
Sanya,98.8,1921,10000
Shenyang,379,12860,10000
Shenzhen,894.7,1997.47,10000
Shijiazhuang,1103.1,13504,10000
Suzhou,1270.8,8657.32,10000
Taiyuan,523.2,6988,10000
Tianjin,1385,11966.45,10000
Wenzhou,956.1,12110,10000
Xiamen,512,1700.61,10000
Xian,1235,10752,10000
Zhengzhou,1235.5,7567,10000
