date, confirmed, cured, dead
2020-01-20, 0, 0, 0
2020-01-21, 0, 0, 0
2020-01-22, 1, 0, 0
2020-01-23, 2, 0, 0
2020-01-24, 5, 0, 0
2020-01-25, 6, 0, 0
2020-01-26, 13, 0, 0
2020-01-27, 17, 0, 0
2020-01-28, 18, 0, 0
2020-01-29, 24, 0, 0
2020-01-30, 24, 0, 0
2020-01-31, 32, 0, 0
2020-02-01, 39, 0, 0
2020-02-02, 44, 0, 0
2020-02-03, 47, 0, 0
2020-02-04, 53, 0, 0
2020-02-05, 55, 0, 0
2020-02-06, 56, 0, 0
2020-02-07, 57, 0, 0
2020-02-08, 59, 0, 0
2020-02-09, 63, 0, 0
2020-02-10, 63, 0, 0
2020-02-11, 64, 0, 0
2020-02-12, 64, 0, 0
2020-02-13, 64, 0, 0
