date, confirmed, cured, dead
2020-01-20, 0, 0, 0
2020-01-21, 1, 0, 0
2020-01-22, 5, 0, 0
2020-01-23, 6, 0, 0
2020-01-24, 6, 0, 0
2020-01-25, 12, 0, 0
2020-01-26, 27, 0, 0
2020-01-27, 27, 0, 0
2020-01-28, 32, 0, 0
2020-01-29, 51, 0, 0
2020-01-30, 69, 0, 0
2020-01-31, 85, 0, 0
2020-02-01, 98, 0, 0
2020-02-02, 110, 0, 0
2020-02-03, 118, 0, 0
2020-02-04, 132, 0, 0
2020-02-05, 141, 0, 0
2020-02-06, 151, 0, 0
2020-02-07, 156, 0, 0
2020-02-08, 162, 0, 0
2020-02-09, 165, 0, 0
2020-02-10, 155, 0, 0
2020-02-11, 157, 0, 0
2020-02-12, 159, 0, 0
2020-02-13, 162, 0, 0
