date, confirmed, cured, dead
2020-01-20, 0, 0, 0
2020-01-21, 0, 0, 0
2020-01-22, 0, 0, 0
2020-01-23, 1, 0, 0
2020-01-24, 2, 0, 0
2020-01-25, 3, 0, 0
2020-01-26, 4, 0, 0
2020-01-27, 8, 0, 0
2020-01-28, 17, 0, 0
2020-01-29, 25, 0, 0
2020-01-30, 46, 0, 0
2020-01-31, 67, 0, 0
2020-02-01, 83, 0, 0
2020-02-02, 89, 0, 0
2020-02-03, 103, 0, 0
2020-02-04, 121, 0, 0
2020-02-05, 134, 0, 0
2020-02-06, 149, 0, 0
2020-02-07, 162, 0, 0
2020-02-08, 168, 0, 0
2020-02-09, 179, 0, 0
2020-02-10, 189, 0, 0
2020-02-11, 195, 0, 0
2020-02-12, 204, 0, 0
2020-02-13, 210, 0, 0
