date, confirmed, cured, dead
2020-01-20, 0, 0, 0
2020-01-21, 0, 0, 0
2020-01-22, 0, 0, 0
2020-01-23, 3, 0, 0
2020-01-24, 4, 0, 0
2020-01-25, 7, 0, 0
2020-01-26, 7, 0, 0
2020-01-27, 7, 0, 0
2020-01-28, 10, 0, 0
2020-01-29, 14, 0, 0
2020-01-30, 19, 0, 0
2020-01-31, 25, 0, 0
2020-02-01, 28, 0, 0
2020-02-02, 35, 0, 0
2020-02-03, 40, 0, 0
2020-02-04, 44, 0, 0
2020-02-05, 47, 0, 0
2020-02-06, 52, 0, 0
2020-02-07, 57, 0, 0
2020-02-08, 65, 0, 0
2020-02-09, 71, 0, 0
2020-02-10, 78, 0, 0
2020-02-11, 84, 0, 0
2020-02-12, 87, 0, 0
2020-02-13, 90, 0, 0
