date, confirmed, cured, dead
2020-01-20, 1, 0, 0
2020-01-21, 10, 0, 0
2020-01-22, 14, 0, 0
2020-01-23, 15, 0, 0
2020-01-24, 15, 0, 0
2020-01-25, 20, 0, 0
2020-01-26, 27, 0, 0
2020-01-27, 36, 0, 0
2020-01-28, 49, 0, 0
2020-01-29, 63, 0, 0
2020-01-30, 86, 0, 0
2020-01-31, 110, 0, 0
2020-02-01, 170, 0, 0
2020-02-02, 196, 0, 0
2020-02-03, 226, 0, 0
2020-02-04, 269, 0, 0
2020-02-05, 289, 0, 0
2020-02-06, 314, 0, 0
2020-02-07, 334, 0, 0
2020-02-08, 351, 0, 0
2020-02-09, 364, 0, 0
2020-02-10, 368, 0, 0
2020-02-11, 375, 0, 0
2020-02-12, 386, 0, 0
2020-02-13, 391, 0, 0
