date, confirmed, cured, dead
2020-01-20, 0, 0, 0
2020-01-21, 0, 0, 0
2020-01-22, 0, 0, 0
2020-01-23, 1, 0, 0
2020-01-24, 2, 0, 0
2020-01-25, 3, 0, 0
2020-01-26, 7, 0, 0
2020-01-27, 8, 0, 0
2020-01-28, 12, 0, 0
2020-01-29, 20, 0, 0
2020-01-30, 24, 0, 0
2020-01-31, 32, 0, 0
2020-02-01, 34, 0, 0
2020-02-02, 38, 0, 0
2020-02-03, 44, 0, 0
2020-02-04, 52, 0, 0
2020-02-05, 55, 0, 0
2020-02-06, 60, 0, 0
2020-02-07, 69, 0, 0
2020-02-08, 72, 0, 0
2020-02-09, 75, 0, 0
2020-02-10, 77, 0, 0
2020-02-11, 80, 0, 0
2020-02-12, 84, 0, 0
2020-02-13, 85, 0, 0
