date, confirmed, cured, dead
2020-01-20,0, 0, 0
2020-01-21,0, 0, 0
2020-01-22,2, 0, 0
2020-01-23,4, 0, 0
2020-01-24,6, 0, 0
2020-01-25,10, 0, 0
2020-01-26,18, 0, 0
2020-01-27,32, 0, 0
2020-01-28,60, 0, 0
2020-01-29,114, 0, 0
2020-01-30,172, 0, 0
2020-01-31,227, 0, 0
2020-02-01,241, 0, 0
2020-02-02,265, 0, 0
2020-02-03,291, 0, 0
2020-02-04,340, 0, 0
2020-02-05,364, 0, 0
2020-02-06,396, 0, 0
2020-02-07,421, 0, 0
2020-02-08,438, 0, 0
2020-02-09,448,0,0
2020-02-10,464,0,0
2020-02-11,474,0,0
2020-02-12,481,0,0
2020-02-13,490,0,0
