date, confirmed, cured, dead
2020-01-20, 198, 0, 0
2020-01-21, 258, 0, 0
2020-01-22, 286, 0, 0
2020-01-23, 348, 0, 0
2020-01-24, 418, 0, 0
2020-01-25, 495, 0, 0
2020-01-26, 618, 0, 0
2020-01-27, 698, 0, 0
2020-01-28, 1590, 0, 0
2020-01-29, 1905, 0, 0
2020-01-30, 2261, 0, 0
2020-01-31, 2639, 0, 0
2020-02-01, 3215, 0, 0
2020-02-02, 4109, 0, 0
2020-02-03, 5142, 0, 0
2020-02-04, 6384, 0, 0
2020-02-05, 8351, 0, 0
2020-02-06, 10117, 0, 0
2020-02-07, 11618, 0, 0
2020-02-08, 13603, 0, 0
2020-02-09, 14982, 0, 0
2020-02-10, 16902, 0, 0
2020-02-11, 18454, 0, 0
2020-02-12, 19558, 0, 0
2020-02-13, 32994, 0, 0
