date, confirmed, cured, dead
2020-01-20, 0, 0, 0
2020-01-21, 0, 0, 0
2020-01-22, 1, 0, 0
2020-01-23, 2, 0, 0
2020-01-24, 3, 0, 0
2020-01-25, 6, 0, 0
2020-01-26, 20, 0, 0
2020-01-27, 29, 0, 0
2020-01-28, 37, 0, 0
2020-01-29, 40, 0, 0
2020-01-30, 46, 0, 0
2020-01-31, 50, 0, 0
2020-02-01, 56, 0, 0
2020-02-02, 65, 0, 0
2020-02-03, 72, 0, 0
2020-02-04, 85, 0, 0
2020-02-05, 92, 0, 0
2020-02-06, 102, 0, 0
2020-02-07, 112, 0, 0
2020-02-08, 120, 0, 0
2020-02-09, 126, 0, 0
2020-02-10, 130, 0, 0
2020-02-11, 132, 0, 0
2020-02-12, 137, 0, 0
2020-02-13, 141, 0, 0
